Handle,ObjType,TextString,Layer,TextHeight
BDC08C,MText,"751.89",T-ELEVATION-T,7.9999999999999964
BDC08D,MText,"751.99",T-ELEVATION-T,7.9999999999999964
BDC08E,MText,"752.18",T-ELEVATION-T,7.9999999999999964
BDC08F,MText,"752.39",T-ELEVATION-T,7.9999999999999964
BDC090,MText,"752.65",T-ELEVATION-T,7.9999999999999964
BDC091,MText,"752.84",T-ELEVATION-T,7.9999999999999964
BDC092,MText,"752.96",T-ELEVATION-T,7.9999999999999964
BDC093,MText,"752.95",T-ELEVATION-T,7.9999999999999964
BDC094,MText,"752.82",T-ELEVATION-T,7.9999999999999964
BDC095,MText,"752.50",T-ELEVATION-T,7.9999999999999964
BDC096,MText,"752.17",T-ELEVATION-T,7.9999999999999964
BDC097,MText,"751.81",T-ELEVATION-T,7.9999999999999964
BDC098,MText,"751.60",T-ELEVATION-T,7.9999999999999964
BDC099,MText,"751.56",T-ELEVATION-T,7.9999999999999964
BDC09A,MText,"752.02",T-ELEVATION-T,7.9999999999999964
BDC09B,MText,"753.70",T-ELEVATION-T,7.9999999999999964
BDC09C,MText,"753.10",T-ELEVATION-T,7.9999999999999964
BDC09D,MText,"751.91",T-ELEVATION-T,7.9999999999999964
BDC09E,MText,"750.18",T-ELEVATION-T,7.9999999999999964
BDC09F,MText,"751.40",T-ELEVATION-T,7.9999999999999964
BDC0A0,MText,"751.59",T-ELEVATION-T,7.9999999999999964
BDC0A1,MText,"751.77",T-ELEVATION-T,7.9999999999999964
BDC0A2,MText,"751.90",T-ELEVATION-T,7.9999999999999964
BDC0A3,MText,"751.98",T-ELEVATION-T,7.9999999999999964
BDC0A4,MText,"751.87",T-ELEVATION-T,7.9999999999999964
BDC0A5,MText,"752.03",T-ELEVATION-T,7.9999999999999964
BDC0A6,MText,"751.86",T-ELEVATION-T,7.9999999999999964
BDC0A7,MText,"751.86",T-ELEVATION-T,7.9999999999999964
BDC0A8,MText,"751.82",T-ELEVATION-T,7.9999999999999964
BDC0A9,MText,"751.54",T-ELEVATION-T,7.9999999999999964
BDC0AA,MText,"751.30",T-ELEVATION-T,7.9999999999999964
BDC0AB,MText,"751.48",T-ELEVATION-T,7.9999999999999964
BDC0AC,MText,"751.60",T-ELEVATION-T,7.9999999999999964
BDC0AD,MText,"751.40",T-ELEVATION-T,7.9999999999999964
BDC0AE,MText,"751.24",T-ELEVATION-T,7.9999999999999964
BDC0AF,MText,"751.94",T-ELEVATION-T,7.9999999999999964
BDC0B0,MText,"752.14",T-ELEVATION-T,7.9999999999999964
BDC0B1,MText,"753.55",T-ELEVATION-T,7.9999999999999964
BDC0B2,MText,"751.78",T-ELEVATION-T,7.9999999999999964
BDC0B3,MText,"751.23",T-ELEVATION-T,7.9999999999999964
BDC0B4,MText,"751.47",T-ELEVATION-T,7.9999999999999964
BDC0B5,MText,"751.69",T-ELEVATION-T,7.9999999999999964
BDC0B6,MText,"751.88",T-ELEVATION-T,7.9999999999999964
BDC0B7,MText,"751.85",T-ELEVATION-T,7.9999999999999964
BDC0B8,MText,"751.81",T-ELEVATION-T,7.9999999999999964
BDC0B9,MText,"751.76",T-ELEVATION-T,7.9999999999999964
BDC0BA,MText,"751.61",T-ELEVATION-T,7.9999999999999964
BDC0BB,MText,"751.49",T-ELEVATION-T,7.9999999999999964
BDC0BC,MText,"751.50",T-ELEVATION-T,7.9999999999999964
BDC0BD,MText,"751.49",T-ELEVATION-T,7.9999999999999964
BDC0BE,MText,"751.42",T-ELEVATION-T,7.9999999999999964
BDC0BF,MText,"751.50",T-ELEVATION-T,7.9999999999999964
BDC0C0,MText,"751.43",T-ELEVATION-T,7.9999999999999964
BDC0C1,MText,"751.40",T-ELEVATION-T,7.9999999999999964
BDC0C2,MText,"751.45",T-ELEVATION-T,7.9999999999999964
BDC0C3,MText,"751.32",T-ELEVATION-T,7.9999999999999964
